sceAta_driver
  0xDC4A18BC, sceBLKStartFeatures
sceChkreg_driver
  0x54495B19, sceChkreg_driver_54495B19
sceClockgen_driver
  0x29160F5D, sceClockgenInit
  0x36F9B49D, sceClockgenEnd
  0x32C8CA86, sceClockgenGetRevision
  0xB9716D48, sceClockgenGetRegValue
  0x4EB657D5, sceClockgen_driver_4EB657D5
  0x5F8328FD, sceClockgen_driver_5F8328FD
  0xB9FE99D1, sceClockgen_driver_B9FE99D1
  0x7FF82F6F, sceClockgen_driver_7FF82F6F
  0xDBE5F283, sceClockgen_driver_DBE5F283
  0xC9AF3102, sceClockgen_driver_C9AF3102
sceCodec_driver
  0xBD8E0977, sceCodecInitEntry
  0x02133959, sceCodecStopEntry
  0x856E7487, sceCodecOutputEnable
  0x359C2B9F, sceCodecOutputDisable
  0xC513C747, sceCodecInputEnable
  0x31B2E41E, sceCodecInputDisable
  0x261C6EE8, sceCodecSetOutputVolume
  0x6D945509, sceCodec_driver_6D945509
  0x40D5C897, sceCodec_driver_40D5C897
  0xDFBCACF3, sceCodecSetFrequency
  0x56494D70, sceCodec_driver_56494D70
  0x4515AE04, sceCodec_driver_4515AE04
  0xEEB91526, sceCodecSetVolumeOffset
sceCtrl
  0x6A2774F3, sceCtrlSetSamplingCycle
  0x02BAAD91, sceCtrlGetSamplingCycle
  0x1F4011E6, sceCtrlSetSamplingMode
  0xDA6B76A1, sceCtrlGetSamplingMode
  0x3A622550, sceCtrlPeekBufferPositive
  0xC152080A, sceCtrlPeekBufferNegative
  0x1F803938, sceCtrlReadBufferPositive
  0x60B81F86, sceCtrlReadBufferNegative
  0xB1D0E5CD, sceCtrlPeekLatch
  0x0B588501, sceCtrlReadLatch
  0x348D99D4, sceCtrl_348D99D4
  0xAF5960F3, sceCtrl_AF5960F3
  0xA68FD260, sceCtrl_A68FD260
  0x6841BE1A, sceCtrl_6841BE1A
sceCtrl_driver
  0x3E65A0EA, sceCtrlInit
  0xE03956E9, sceCtrlEnd
  0xC3F607F3, sceCtrlSuspend
  0xC245B57B, sceCtrlResume
  0x6A2774F3, sceCtrlSetSamplingCycle
  0x02BAAD91, sceCtrlGetSamplingCycle
  0x1F4011E6, sceCtrlSetSamplingMode
  0xDA6B76A1, sceCtrlGetSamplingMode
  0x3A622550, sceCtrlPeekBufferPositive
  0xC152080A, sceCtrlPeekBufferNegative
  0x1F803938, sceCtrlReadBufferPositive
  0x60B81F86, sceCtrlReadBufferNegative
  0xB1D0E5CD, sceCtrlPeekLatch
  0x0B588501, sceCtrlReadLatch
  0xA88E8D22, sceCtrl_driver_A88E8D22
  0xB7CEAED4, sceCtrl_driver_B7CEAED4
  0x348D99D4, sceCtrl_driver_348D99D4
  0xAF5960F3, sceCtrl_driver_AF5960F3
  0xA68FD260, sceCtrl_driver_A68FD260
  0x6841BE1A, sceCtrl_driver_6841BE1A
  0x7CA723DC, sceCtrl_driver_7CA723DC
  0x5E77BC8A, sceCtrl_driver_5E77BC8A
  0x5C56C779, sceCtrl_driver_5C56C779
sceDisplay
  0x0E20F177, sceDisplaySetMode
  0xDEA197D4, sceDisplayGetMode
  0xDBA6C4C4, sceDisplayGetFramePerSec
  0x7ED59BC4, sceDisplaySetHoldMode
  0xA544C486, sceDisplaySetResumeMode
  0x289D82FE, sceDisplaySetFrameBuf
  0xEEDA2E54, sceDisplayGetFrameBuf
  0xB4F378FA, sceDisplayIsForeground
  0x31C4BAA8, sceDisplay_31C4BAA8
  0x9C6EAAD7, sceDisplayGetVcount
  0x4D4E10EC, sceDisplayIsVblank
  0x36CDFADE, sceDisplayWaitVblank
  0x8EB9EC49, sceDisplayWaitVblankCB
  0x984C27E7, sceDisplayWaitVblankStart
